userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC,eventtime
ds101,0.0,57.0,65,0.8769230769230769,273,0.0,0.0,8.0,8.0,1,0.0,131.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 06:54:45
ds101,0.0,4.0,49,0.08163265306122447,1402,0.0,0.0,35.0,35.0,1,0.0,89.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 06:54:45
ds101,0.0,80.0,956,0.08368200836820082,13203,0.0,0.0,22.0,22.0,25,3.0,1020.0,0.0,66.0,0.0,0.0,0.0,2018-01-17 06:54:45
ds102,0.0,2.0,5,0.4,3,0.0,0.0,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:31
ds103,0.0,147.0,296,0.4966216216216216,3214,0.0,0.0,1.0,1.0,5,1.0,409.0,45.0,0.0,1.0,0.0,2.0,2017-11-22 05:56:42
ds104,0.0,29.0,48,0.6041666666666666,1619,0.0,0.0,2.0,2.0,4,0.0,89.0,0.0,0.0,1.0,2.0,2.0,2017-11-22 05:55:18
ds105,0.0,17.0,118,0.1440677966101695,2561,0.0,0.0,2.0,2.0,1,0.0,138.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 06:13:50
ds105,0.0,54.0,341,0.15835777126099707,1696,0.0,0.0,0.0,0.0,4,3.0,402.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 06:13:50
ds106,9.0,74.0,179,0.4134078212290503,1743,0.0,1.0,2.0,3.0,2,0.0,267.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:57:54
ds107,0.0,80.0,158,0.5063291139240507,3799,0.0,0.0,0.0,0.0,1,0.0,239.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:52:54
ds107,0.0,30.0,341,0.08797653958944282,1515,0.0,0.0,0.0,0.0,5,3.0,0.0,379.0,0.0,0.0,0.0,0.0,2018-01-17 05:52:54
ds108,0.0,4.0,71,0.056338028169014086,203,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,76.0,0.0,0.0,0.0,2017-12-13 06:56:53
ds108,0.0,752.0,1115,0.6744394618834081,9829,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,1874.0,0.0,0.0,0.0,2018-01-17 06:56:53
ds109,0.0,66.0,278,0.23741007194244604,3014,1.0,0.0,4.0,4.0,10,3.0,362.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 06:09:13
ds110,0.0,79.0,766,0.1031331592689295,7918,0.0,0.0,2.0,2.0,10,6.0,863.0,0.0,0.0,0.0,0.0,0.0,2018-01-23 07:25:35
ds111,0.0,8.0,80,0.1,853,0.0,0.0,0.0,0.0,1,1.0,90.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 06:53:34
ds111,0.0,18.0,84,0.21428571428571427,316,0.0,0.0,1.0,1.0,2,0.0,105.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 06:53:34
ds111,2.0,290.0,826,0.351089588377724,11906,0.0,2.0,5.0,7.0,9,4.0,1139.0,0.0,0.0,0.0,0.0,1.0,2018-01-17 06:53:34
ds112,0.0,135.0,230,0.5869565217391305,1484,0.0,0.0,0.0,0.0,5,2.0,377.0,0.0,0.0,0.0,3.0,2.0,2017-11-22 05:55:18
ds113,0.0,3.0,16,0.1875,67,0.0,0.0,4.0,4.0,2,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2017-12-13 06:56:01
ds113,0.0,409.0,1229,0.33279088689991865,11128,2.0,0.0,11.0,11.0,13,10.0,1678.0,0.0,0.0,1.0,0.0,2.0,2018-01-17 06:56:01
ds113,0.0,6.0,26,0.2307692307692308,36,0.0,0.0,0.0,0.0,1,1.0,34.0,0.0,0.0,0.0,0.0,0.0,2018-01-24 06:56:01
ds114,0.0,29.0,112,0.25892857142857145,731,0.0,0.0,0.0,0.0,5,0.0,0.0,146.0,0.0,0.0,0.0,0.0,2017-12-13 05:48:24
ds114,0.0,95.0,199,0.4773869346733669,5049,0.0,0.0,7.0,7.0,3,0.0,304.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:48:24
ds114,0.0,22.0,371,0.05929919137466307,675,0.0,0.0,1.0,1.0,5,3.0,320.0,82.0,0.0,0.0,0.0,0.0,2018-01-17 05:48:24
ds115,0.0,2.0,11,0.18181818181818185,55,0.0,0.0,1.0,1.0,1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 09:05:15
ds116,0.0,34.0,112,0.3035714285714285,4021,0.0,0.0,0.0,0.0,1,0.0,147.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:49:47
ds116,2.0,339.0,1135,0.2986784140969163,6612,0.0,1.0,6.0,7.0,12,9.0,1063.0,0.0,441.0,0.0,0.0,0.0,2018-01-17 05:49:47
ds116,0.0,0.0,16,0.0,32,0.0,0.0,0.0,0.0,1,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2018-01-24 05:49:47
ds117,0.0,31.0,102,0.30392156862745096,217,0.0,0.0,0.0,0.0,1,0.0,134.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 06:56:50
ds117,0.0,41.0,397,0.10327455919395466,4921,0.0,0.0,1.0,1.0,8,3.0,448.0,2.0,0.0,0.0,0.0,0.0,2018-01-17 06:56:50
ds118,0.0,41.0,163,0.25153374233128833,2163,0.0,0.0,0.0,0.0,3,0.0,0.0,207.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:24
ds119,0.0,0.0,7,0.0,20,0.0,0.0,0.0,0.0,2,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2017-12-13 06:56:46
ds120,0.0,102.0,179,0.5698324022346368,3942,0.0,0.0,0.0,0.0,2,1.0,284.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:48:37
ds120,0.0,3.0,61,0.049180327868852465,291,0.0,0.0,4.0,4.0,1,0.0,69.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:48:37
ds120,0.0,105.0,423,0.24822695035460995,3435,4.0,0.0,5.0,5.0,6,4.0,547.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 05:48:37
ds121,0.0,159.0,348,0.456896551724138,3746,0.0,0.0,15.0,15.0,4,0.0,0.0,0.0,526.0,0.0,0.0,0.0,2017-11-22 05:55:49
ds122,0.0,49.0,66,0.7424242424242424,228,0.0,0.0,0.0,0.0,1,0.0,0.0,116.0,0.0,0.0,0.0,0.0,2017-11-22 05:57:00
ds123,9.0,28.0,97,0.28865979381443296,1986,0.0,2.0,5.0,7.0,6,2.0,160.0,0.0,0.0,1.0,7.0,2.0,2017-11-22 05:55:18
ds124,0.0,332.0,368,0.9021739130434784,4094,0.0,0.0,5.0,5.0,5,0.0,710.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:56:10
ds125,1.0,313.0,373,0.8391420911528149,1279,0.0,0.0,4.0,4.0,5,1.0,547.0,150.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:18
ds126,0.0,8.0,137,0.0583941605839416,1610,0.0,0.0,0.0,0.0,4,2.0,0.0,0.0,151.0,0.0,0.0,0.0,2017-11-22 05:55:19
ds127,0.0,44.0,270,0.16296296296296298,3035,0.0,0.0,10.0,10.0,4,2.0,341.0,0.0,0.0,2.0,4.0,3.0,2017-11-22 05:56:43
ds128,0.0,11.0,44,0.25,31,0.0,0.0,0.0,0.0,2,0.0,57.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 06:04:31
ds129,17.0,152.0,245,0.6204081632653061,1221,0.0,0.0,7.0,7.0,2,0.0,423.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:56:16
ds130,0.0,24.0,112,0.21428571428571427,62,0.0,0.0,0.0,0.0,1,0.0,137.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 06:56:13
ds130,0.0,265.0,1269,0.20882584712371946,8579,0.0,0.0,0.0,0.0,16,3.0,1553.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 06:56:13
ds131,10.0,101.0,213,0.4741784037558686,1106,0.0,0.0,1.0,1.0,2,0.0,327.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:51
ds132,0.0,11.0,63,0.1746031746031746,91,0.0,0.0,0.0,0.0,2,1.0,77.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 06:01:01
ds133,4.0,41.0,143,0.2867132867132867,1077,0.0,1.0,0.0,1.0,3,0.0,192.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:56:51
ds134,0.0,113.0,152,0.7434210526315791,4528,0.0,0.0,0.0,0.0,7,5.0,274.0,3.0,0.0,0.0,0.0,0.0,2017-12-13 05:44:36
ds134,0.0,131.0,430,0.30465116279069765,14673,0.0,0.0,1.0,1.0,5,1.0,571.0,0.0,0.0,0.0,3.0,0.0,2018-01-17 05:44:36
ds135,0.0,12.0,86,0.13953488372093026,950,0.0,0.0,0.0,0.0,3,0.0,0.0,101.0,0.0,0.0,0.0,0.0,2017-11-22 06:01:18
ds136,0.0,34.0,224,0.15178571428571427,1217,0.0,0.0,2.0,2.0,5,3.0,268.0,0.0,0.0,0.0,0.0,0.0,2018-01-24 03:14:58
ds137,0.0,2.0,11,0.18181818181818185,26,0.0,0.0,0.0,0.0,1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:25
ds137,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2017-12-06 05:55:25
ds138,0.0,47.0,128,0.3671875,732,0.0,0.0,0.0,0.0,2,0.0,177.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:47:42
ds138,0.0,5.0,107,0.04672897196261682,240,0.0,0.0,0.0,0.0,1,0.0,113.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:47:42
ds138,0.0,33.0,396,0.08333333333333333,1446,0.0,0.0,1.0,1.0,6,4.0,440.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 05:47:42
ds139,0.0,88.0,554,0.1588447653429603,7379,0.0,0.0,3.0,3.0,8,1.0,475.0,179.0,0.0,0.0,0.0,0.0,2018-01-14 01:05:36
ds139,0.0,305.0,1429,0.21343596920923724,9921,0.0,0.0,4.0,4.0,26,2.0,1289.0,477.0,0.0,0.0,0.0,0.0,2018-01-21 01:05:36
ds140,0.0,49.0,159,0.3081761006289308,2684,0.0,0.0,0.0,0.0,5,1.0,81.0,133.0,0.0,0.0,0.0,0.0,2017-12-13 05:48:27
ds140,0.0,49.0,129,0.3798449612403101,1280,0.0,0.0,1.0,1.0,1,0.0,180.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:48:27
ds140,0.0,5.0,280,0.017857142857142856,303,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,288.0,0.0,0.0,0.0,2018-01-17 05:48:27
ds141,1.0,14.0,183,0.07650273224043716,3240,0.0,0.0,0.0,0.0,4,0.0,202.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:50:43
ds141,0.0,2.0,37,0.054054054054054064,183,0.0,0.0,0.0,0.0,2,0.0,39.0,2.0,0.0,0.0,0.0,0.0,2017-12-20 05:50:43
ds141,0.0,25.0,306,0.08169934640522876,10974,0.0,0.0,1.0,1.0,14,11.0,357.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 05:50:43
ds142,0.0,141.0,280,0.5035714285714286,3163,0.0,0.0,0.0,0.0,4,1.0,430.0,0.0,0.0,2.0,0.0,0.0,2017-11-22 05:55:19
ds143,0.0,0.0,82,0.0,412,0.0,0.0,0.0,0.0,2,1.0,0.0,85.0,0.0,0.0,0.0,0.0,2017-12-15 03:11:11
ds144,0.0,1.0,38,0.02631578947368421,113,0.0,0.0,0.0,0.0,1,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2017-12-26 15:43:29
ds144,2.0,56.0,322,0.17391304347826084,7808,0.0,1.0,1.0,2.0,5,4.0,391.0,0.0,0.0,0.0,0.0,0.0,2018-01-16 15:43:29
ds145,12.0,3.0,79,0.0379746835443038,4097,0.0,1.0,2.0,3.0,5,1.0,103.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:22
ds145,0.0,12.0,18,0.6666666666666666,20,0.0,0.0,0.0,0.0,1,0.0,31.0,0.0,0.0,0.0,0.0,0.0,2017-11-29 05:55:22
ds146,0.0,60.0,154,0.3896103896103896,1110,0.0,0.0,0.0,0.0,2,0.0,216.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:25
ds147,1.0,156.0,281,0.5551601423487544,559,0.0,0.0,11.0,11.0,3,2.0,454.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:56:04
ds148,0.0,9.0,75,0.12,382,0.0,0.0,1.0,1.0,2,0.0,87.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:59:32
ds149,0.0,0.0,10,0.0,38,0.0,0.0,0.0,0.0,1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2017-12-15 15:31:54
ds149,0.0,2.0,113,0.017699115044247787,1841,0.0,0.0,1.0,1.0,2,1.0,119.0,0.0,0.0,0.0,0.0,0.0,2017-12-22 15:31:54
ds149,0.0,91.0,650,0.14,3918,0.0,0.0,0.0,0.0,7,4.0,752.0,0.0,0.0,0.0,0.0,0.0,2018-01-19 15:31:54
ds150,0.0,25.0,82,0.3048780487804878,286,0.0,0.0,0.0,0.0,2,0.0,46.0,63.0,0.0,0.0,0.0,0.0,2017-11-22 06:00:48
ds151,0.0,9.0,82,0.1097560975609756,113,0.0,0.0,0.0,0.0,1,0.0,92.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:38
ds152,1.0,6.0,187,0.032085561497326213,1486,0.0,0.0,9.0,9.0,4,1.0,208.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:57:09
ds153,7.0,144.0,266,0.5413533834586466,3979,0.0,0.0,0.0,0.0,4,0.0,426.0,0.0,0.0,0.0,2.0,3.0,2017-11-22 05:57:29
